,"Population estimates, July 1, 2019, (V2019)","Population estimates base, April 1, 2010, (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Two or More Races, percent","Hispanic or Latino, percent(b)","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units, July 1, 2019, (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total retail sales, 2012 ($1,000)(c)","Total retail sales per capita, 2012(c)","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Bland County, Virginia","6,280.0000","6,824.0000",-0.0800,0.0390,0.1500,0.2360,0.2360,0.4520,0.9430,0.0400,0.0020,0.0060,0.0100,0.0100,0.9340,362.0000,0.0030,"3,356.0000",0.8140,"113,200.0000",994.0000,307.0000,589.0000,24.0000,"2,367.0000",2.3200,0.9010,0.0240,0.8070,0.7080,0.8860,0.1420,0.1150,0.1150,0.0920,0.4440,0.4910,"33,844.0000","5,023.0000",28.9000,"48,531.0000","22,522.0000","22,522.0000",0.1340,332.0000,255.0000,63.0000,F,315.0000,43.0000,227.0000,19.1000,357.7300,"51,021.0000"
"Botetourt County, Virginia","33,419.0000","33,152.0000",0.0080,0.0420,0.1890,0.2330,0.2330,0.5030,0.9410,0.0330,0.0030,0.0080,0.0150,0.0180,0.9270,"2,867.0000",0.0230,"15,025.0000",0.8630,"227,700.0000","1,469.0000",383.0000,908.0000,105.0000,"13,264.0000",2.4900,0.8970,0.0280,0.8870,0.8020,0.9280,0.2830,0.0890,0.0890,0.0810,0.6000,0.5450,"321,378.0000","9,693.0000",28.0000,"71,110.0000","35,893.0000","35,893.0000",0.0570,"2,597.0000","1,606.0000",743.0000,176.0000,"2,352.0000",283.0000,"2,232.0000",61.2000,541.2000,"51,023.0000"
"Brunswick County, Virginia","16,231.0000","17,426.0000",-0.0690,0.0440,0.1640,0.2180,0.2180,0.4640,0.4240,0.5480,0.0040,0.0090,0.0150,0.0250,0.4070,"1,333.0000",0.0170,"8,236.0000",0.7070,"112,200.0000","1,011.0000",379.0000,668.0000,0.0000,"6,037.0000",2.3400,0.8910,0.0290,0.7840,0.6660,0.7850,0.1360,0.1390,0.1390,0.1270,0.4730,0.5000,"103,582.0000","6,089.0000",29.8000,"44,434.0000","21,732.0000","21,732.0000",0.2090,868.0000,453.0000,274.0000,246.0000,583.0000,101.0000,644.0000,30.8000,566.1700,"51,025.0000"
"Buchanan County, Virginia","21,004.0000","24,102.0000",-0.1290,0.0420,0.1730,0.2310,0.2310,0.4940,0.9530,0.0340,0.0020,0.0040,0.0070,0.0090,0.9460,806.0000,0.0180,"11,556.0000",0.7730,"72,300.0000",984.0000,308.0000,617.0000,4.0000,"8,569.0000",2.4400,0.9120,0.0200,0.7260,0.6470,0.7010,0.1180,0.2030,0.2030,0.1290,0.3760,0.3330,"173,035.0000","7,252.0000",27.3000,"31,956.0000","19,496.0000","19,496.0000",0.2170,"1,056.0000",514.0000,366.0000,41.0000,961.0000,226.0000,753.0000,47.9000,502.7600,"51,027.0000"
"Buckingham County, Virginia","17,148.0000","17,140.0000",0.0000,0.0410,0.1770,0.2020,0.2020,0.4510,0.6330,0.3370,0.0040,0.0040,0.0210,0.0240,0.6130,"1,237.0000",0.0140,"7,479.0000",0.7520,"130,300.0000","1,034.0000",336.0000,779.0000,49.0000,"5,826.0000",2.5600,0.9020,0.0220,0.8130,0.6390,0.7980,0.1250,0.1230,0.1230,0.1400,0.5040,0.5330,"82,977.0000","4,856.0000",36.3000,"49,025.0000","20,605.0000","20,605.0000",0.1680,685.0000,367.0000,274.0000,128.0000,534.0000,F,635.0000,29.6000,579.6600,"51,029.0000"
"Campbell County, Virginia","54,885.0000","54,809.0000",0.0010,0.0490,0.1940,0.2030,0.2030,0.5140,0.8150,0.1480,0.0040,0.0110,0.0220,0.0290,0.7910,"4,051.0000",0.0240,"26,097.0000",0.7470,"157,000.0000","1,183.0000",311.0000,757.0000,74.0000,"23,071.0000",2.3700,0.8990,0.0300,0.8500,0.7330,0.8720,0.2250,0.0960,0.0960,0.1170,0.6020,0.5560,"600,969.0000","10,894.0000",24.5000,"49,664.0000","27,739.0000","27,739.0000",0.1080,"3,807.0000","1,930.0000","1,412.0000",420.0000,"3,260.0000",427.0000,"3,058.0000",108.8000,503.8700,"51,031.0000"
"Caroline County, Virginia","30,725.0000","28,554.0000",0.0760,0.0630,0.2280,0.1690,0.1690,0.5050,0.6720,0.2720,0.0080,0.0110,0.0360,0.0520,0.6320,"2,613.0000",0.0370,"12,417.0000",0.7920,"206,000.0000","1,468.0000",417.0000,"1,093.0000",109.0000,"10,946.0000",2.5700,0.8350,0.0570,0.8810,0.7360,0.8510,0.1990,0.0830,0.0830,0.1130,0.5960,0.6100,"404,165.0000","13,950.0000",35.1000,"65,103.0000","31,568.0000","31,568.0000",0.0960,"2,177.0000","1,061.0000",868.0000,601.0000,"1,540.0000",266.0000,"1,844.0000",54.1000,527.5100,"51,033.0000"
"Carroll County, Virginia","29,791.0000","30,072.0000",-0.0090,0.0420,0.1780,0.2540,0.2540,0.5040,0.9720,0.0090,0.0030,0.0020,0.0130,0.0390,0.9400,"1,880.0000",0.0200,"16,708.0000",0.7830,"112,900.0000",965.0000,280.0000,565.0000,2.0000,"12,357.0000",2.4000,0.9150,0.0250,0.7830,0.6790,0.8080,0.1500,0.1210,0.1210,0.1310,0.5410,0.4800,"285,688.0000","9,570.0000",26.0000,"44,835.0000","25,449.0000","25,449.0000",0.1390,"2,103.0000","1,358.0000",513.0000,78.0000,"1,988.0000",257.0000,"1,752.0000",63.3000,474.6900,"51,035.0000"
"Charles City County, Virginia","6,963.0000","7,256.0000",-0.0400,0.0370,0.1470,0.2550,0.2550,0.5150,0.4480,0.4440,0.0670,0.0060,0.0340,0.0180,0.4360,561.0000,0.0190,"3,391.0000",0.8390,"167,900.0000","1,296.0000",376.0000,813.0000,19.0000,"2,896.0000",2.4200,0.9320,0.0310,0.7910,0.6150,0.7970,0.1470,0.1330,0.1330,0.1520,0.5710,0.5350,"14,698.0000","2,054.0000",33.8000,"57,198.0000","35,304.0000","35,304.0000",0.1250,460.0000,278.0000,102.0000,148.0000,272.0000,67.0000,351.0000,39.7000,182.8200,"51,036.0000"
"Charlotte County, Virginia","11,880.0000","12,597.0000",-0.0570,0.0560,0.2090,0.2260,0.2260,0.5040,0.6990,0.2760,0.0040,0.0030,0.0180,0.0230,0.6830,826.0000,0.0080,"6,348.0000",0.7130,"111,900.0000","1,073.0000",329.0000,620.0000,16.0000,"4,661.0000",2.5500,0.9320,0.0210,0.7130,0.5970,0.8320,0.1090,0.1580,0.1580,0.1480,0.5570,0.5590,"56,529.0000","4,557.0000",32.8000,"40,573.0000","22,018.0000","22,018.0000",0.1930,684.0000,352.0000,276.0000,134.0000,522.0000,140.0000,513.0000,26.5000,475.2700,"51,037.0000"
