School Number,,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans,Division Name,Jurisdiction,"Population estimates, July 1, 2019, (V2019)","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Hispanic or Latino, percent(b)","Owner-occupied housing unit rate, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Population per square mile, 2010"
754,,Hidden Valley High,43,26,4,34,1,2,20,14,6,10,4,10,60,166,8,,,1,235,75,122,9,8,10,11,Roanoke County  ,"Roanoke County, Virginia",94186,0.518,0.879,0.064,0.002,0.035,0.033,0.748,0.908,0.841,0.923,0.356,68948,36469,0.065,368.7
520,,Northside High,8,4,6,19,2,11,42,10,1,18,2,4,90,126,13,,,1,230,94,77,11,42,6,,Roanoke County  ,"Roanoke County, Virginia",94186,0.518,0.879,0.064,0.002,0.035,0.033,0.748,0.908,0.841,0.923,0.356,68948,36469,0.065,368.7
630,,William Byrd High,33,8,0,11,32,31,6,4,5,0,1,12,105,145,13,1,,1,265,85,103,6,67,4,,Roanoke County  ,"Roanoke County, Virginia",94186,0.518,0.879,0.064,0.002,0.035,0.033,0.748,0.908,0.841,0.923,0.356,68948,36469,0.065,368.7
22,,Rockbridge County High,14,30,26,7,3,0,10,5,0,20,1,9,82,116,3,,,3,204,51,79,15,53,6,,Rockbridge County  ,"Rockbridge County, Virginia",22573,0.505,0.935,0.033,0.006,0.007,0.02,0.752,0.838,0.757,0.868,0.267,54600,31539,0.115,37.3
870,,Broadway High,6,10,,12,9,0,14,10,,21,1,7,137,120,12,1,,5,275,49,99,14,107,5,1,Rockingham County  ,"Rockingham County, Virginia",81948,0.509,0.942,0.025,0.006,0.01,0.074,0.745,0.853,0.763,0.84,0.263,61864,31275,0.081,89.9
391,,East Rockingham High,18,18,0,6,9,0,11,3,0,15,9,12,90,111,6,,,3,210,62,66,10,62,5,5,Rockingham County  ,"Rockingham County, Virginia",81948,0.509,0.942,0.025,0.006,0.01,0.074,0.745,0.853,0.763,0.84,0.263,61864,31275,0.081,89.9
20,,Spotswood High,17,18,0,13,9,0,15,10,,27,3,12,106,139,9,,,4,258,24,148,9,58,10,9,Rockingham County  ,"Rockingham County, Virginia",81948,0.509,0.942,0.025,0.006,0.01,0.074,0.745,0.853,0.763,0.84,0.263,61864,31275,0.081,89.9
850,,Turner Ashby High,19,13,33,11,6,5,9,50,,11,0,0,98,132,8,1,,2,241,30,109,24,66,6,6,Rockingham County  ,"Rockingham County, Virginia",81948,0.509,0.942,0.025,0.006,0.01,0.074,0.745,0.853,0.763,0.84,0.263,61864,31275,0.081,89.9
791,,Castlewood High,,8,,11,10,9,,18,8,8,17,40,49,19,,,,,68,25,24,,13,4,2,Russell County  ,"Russell County, Virginia",26586,0.512,0.976,0.011,0.003,0.002,0.014,0.761,0.72,0.597,0.803,0.122,39758,21605,0.2,61
540,,Honaker High,,15,0,0,0,,3,5,0,15,8,0,61,34,3,,1,1,100,49,20,,25,1,5,Russell County  ,"Russell County, Virginia",26586,0.512,0.976,0.011,0.003,0.002,0.014,0.761,0.72,0.597,0.803,0.122,39758,21605,0.2,61
