School Number,,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans,Division Name,Jurisdiction,"Population estimates, July 1, 2019, (V2019)","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Hispanic or Latino, percent(b)","Owner-occupied housing unit rate, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Population per square mile, 2010"
350,,Covington High,7,0,3,12,0,4,4,24,2,14,14,1,33,22,4,3,1,1,64,26,14,2,19,3,,Covington City  ,"Covington city, Virginia",5538,0.521,0.821,0.131,0,0.012,0.024,0.745,0.836,0.772,0.873,0.156,40655,25309,0.132,1090.2
1374,,Galileo Magnet High,29,0,0,0,0,4,9,0,12,9,0,0,27,43,,,,,70,33,25,1,4,7,,Danville City  ,"Danville city, Virginia",40044,0.54,0.455,0.494,0.001,0.012,0.043,0.515,0.806,0.719,0.818,0.176,37203,22826,0.224,1002.8
210,,George Washington High,13,1,2,5,0,4,,2,18,5,25,2,184,61,20,10,1,9,285,62,95,16,86,19,7,Danville City  ,"Danville city, Virginia",40044,0.54,0.455,0.494,0.001,0.012,0.043,0.515,0.806,0.719,0.818,0.176,37203,22826,0.224,1002.8
251,,George Mason High,14,53,0,14,20,20,2,19,10,37,35,3,52,132,,2,1,,187,29,145,2,7,1,3,Falls Church City  ,"Falls Church city, Virginia",14617,0.514,0.794,0.049,0.002,0.099,0.107,0.583,0.982,0.937,0.989,0.776,127610,72325,0.032,6169.1
40,,James Monroe High,0,5,3,4,0,5,5,10,15,3,9,6,119,125,10,,6,,260,83,114,12,35,5,11,Fredericksburg City  ,"Fredericksburg city, Virginia",29036,0.546,0.623,0.221,0.002,0.027,0.107,0.355,0.935,0.847,0.902,0.409,65641,35731,0.155,2326.2
31,,Galax High,24,,0,5,0,,0,0,0,0,8,17,52,36,1,,2,,91,41,26,2,18,4,,Galax City  ,"Galax city, Virginia",6347,0.526,0.896,0.075,0,0.006,0.145,0.681,0.799,0.685,0.757,0.148,33575,23025,0.238,854.6
430,,Bethel High,8,6,1,11,1,4,3,0,4,6,2,21,244,144,31,,1,1,421,61,139,27,48,20,126,Hampton City  ,"Hampton city, Virginia",134510,0.518,0.411,0.499,0.005,0.025,0.058,0.557,0.914,0.82,0.914,0.269,56287,30135,0.152,2673.2
280,,Hampton High,1,11,0,3,1,6,14,1,6,13,10,2,224,125,21,,,2,372,23,185,68,56,24,16,Hampton City  ,"Hampton city, Virginia",134510,0.518,0.411,0.499,0.005,0.025,0.058,0.557,0.914,0.82,0.914,0.269,56287,30135,0.152,2673.2
320,,Kecoughtan High,11,8,1,11,2,8,4,8,0,4,7,8,205,191,11,,,2,409,95,169,26,76,24,19,Hampton City  ,"Hampton city, Virginia",134510,0.518,0.411,0.499,0.005,0.025,0.058,0.557,0.914,0.82,0.914,0.269,56287,30135,0.152,2673.2
50,,Phoebus High,0,3,8,1,5,0,7,4,6,11,37,16,148,72,24,,,3,247,41,92,25,37,42,10,Hampton City  ,"Hampton city, Virginia",134510,0.518,0.411,0.499,0.005,0.025,0.058,0.557,0.914,0.82,0.914,0.269,56287,30135,0.152,2673.2
12,,Harrisonburg High,5,20,18,1,11,3,12,8,7,22,53,,148,260,13,,8,,429,160,132,26,104,6,1,Harrisonburg City  ,"Harrisonburg city, Virginia",53016,0.52,0.804,0.074,0.001,0.039,0.197,0.396,0.902,0.78,0.839,0.363,46679,23202,0.283,2808.2
120,,Hopewell High,,2,4,11,3,5,1,3,4,1,8,25,164,70,2,,,,236,66,90,1,57,22,,Hopewell City  ,"Hopewell city, Virginia",22529,0.532,0.509,0.435,0.001,0.014,0.079,0.467,0.84,0.757,0.813,0.148,39030,21927,0.236,2198
260,,E.C. Glass High ,23,35,1,16,18,1,2,14,14,0,1,5,117,184,21,2,,8,332,81,151,13,24,7,56,Lynchburg City  ,"Lynchburg city, Virginia",82168,0.532,0.65,0.286,0.003,0.024,0.042,0.487,0.886,0.796,0.887,0.356,46409,23863,0.195,1538.2
130,,Heritage High,17,8,1,11,6,0,12,4,4,3,0,5,110,106,13,1,1,3,234,99,80,2,23,5,25,Lynchburg City  ,"Lynchburg city, Virginia",82168,0.532,0.65,0.286,0.003,0.024,0.042,0.487,0.886,0.796,0.887,0.356,46409,23863,0.195,1538.2
110,,Martinsville High,,3,8,15,0,3,12,7,,3,7,23,71,50,4,,,1,126,63,34,5,16,4,4,Martinsville City  ,"Martinsville city, Virginia",12554,0.556,0.48,0.454,0.004,0.01,0.057,0.559,0.838,0.739,0.828,0.21,34371,22836,0.239,1261.5
1405,,Achievable Dream Middle/High ,4,0,4,,7,3,1,2,20,4,4,7,3,39,,,,,42,6,25,4,,7,,Newport News City  ,"Newport News city, Virginia",179225,0.517,0.479,0.411,0.003,0.032,0.09,0.489,0.912,0.764,0.91,0.263,53215,28294,0.153,2630
280,,Denbigh High,1,1,9,0,3,0,2,0,2,8,27,8,229,84,10,,,9,332,84,85,52,51,39,21,Newport News City  ,"Newport News city, Virginia",179225,0.517,0.479,0.411,0.003,0.032,0.09,0.489,0.912,0.764,0.91,0.263,53215,28294,0.153,2630
1395,,Heritage High,1,14,,1,18,2,9,7,2,6,20,1,150,109,13,,2,3,277,48,93,11,93,18,14,Newport News City  ,"Newport News city, Virginia",179225,0.517,0.479,0.411,0.003,0.032,0.09,0.489,0.912,0.764,0.91,0.263,53215,28294,0.153,2630
1220,,Menchville High,4,9,0,0,6,0,5,14,1,3,19,6,172,186,11,,,2,371,99,146,20,61,36,9,Newport News City  ,"Newport News city, Virginia",179225,0.517,0.479,0.411,0.003,0.032,0.09,0.489,0.912,0.764,0.91,0.263,53215,28294,0.153,2630
1070,,Warwick High,4,7,1,8,0,4,8,3,0,5,9,1,174,170,6,,,1,351,56,195,29,36,23,12,Newport News City  ,"Newport News city, Virginia",179225,0.517,0.479,0.411,0.003,0.032,0.09,0.489,0.912,0.764,0.91,0.263,53215,28294,0.153,2630
1396,,Woodside High,0,4,0,0,1,0,0,0,0,1,,6,193,197,5,,,6,401,87,147,10,117,28,12,Newport News City  ,"Newport News city, Virginia",179225,0.517,0.479,0.411,0.003,0.032,0.09,0.489,0.912,0.764,0.91,0.263,53215,28294,0.153,2630
880,,Booker T Washington High,13,2,7,2,13,1,13,0,5,27,0,0,129,59,12,1,2,3,206,71,64,34,23,13,1,Norfolk City  ,"Norfolk city, Virginia",242742,0.478,0.47,0.411,0.004,0.037,0.08,0.434,0.91,0.834,0.88,0.288,51590,29830,0.187,4486.4
390,,Granby High,4,9,0,0,0,0,0,1,2,0,1,0,239,200,11,,,5,455,88,208,57,64,32,6,Norfolk City  ,"Norfolk city, Virginia",242742,0.478,0.47,0.411,0.004,0.037,0.08,0.434,0.91,0.834,0.88,0.288,51590,29830,0.187,4486.4
840,,Lake Taylor High ,0,8,25,7,2,10,10,2,13,1,5,18,145,71,17,1,4,6,244,55,89,34,45,19,2,Norfolk City  ,"Norfolk city, Virginia",242742,0.478,0.47,0.411,0.004,0.037,0.08,0.434,0.91,0.834,0.88,0.288,51590,29830,0.187,4486.4
10,,Matthew Fontaine Maury High,2,4,19,2,2,4,10,1,11,1,4,26,171,224,6,,1,9,411,73,261,19,34,17,7,Norfolk City  ,"Norfolk city, Virginia",242742,0.478,0.47,0.411,0.004,0.037,0.08,0.434,0.91,0.834,0.88,0.288,51590,29830,0.187,4486.4
580,,Norview High,2,6,11,5,6,10,3,10,7,6,0,7,244,163,17,,2,7,433,62,240,42,42,46,1,Norfolk City  ,"Norfolk city, Virginia",242742,0.478,0.47,0.411,0.004,0.037,0.08,0.434,0.91,0.834,0.88,0.288,51590,29830,0.187,4486.4
20,,J.I. Burton High ,12,0,7,0,,9,0,0,,4,22,,25,33,,,,,58,22,27,,7,2,,Norton City  ,"Norton city, Virginia (County)",3981,0.532,0.897,0.059,0.004,0.018,0.038,0.501,0.843,0.68,0.84,0.228,29000,21741,0.193,529.1
200,,Petersburg High,3,0,3,23,2,10,27,0,14,1,13,0,156,64,22,,2,,244,6,97,3,132,6,,Petersburg City  ,"Petersburg city, Virginia",31346,0.544,0.175,0.767,0.002,0.009,0.049,0.388,0.811,0.69,0.828,0.198,38679,23611,0.241,1413.7
500,,Churchland High,5,13,11,1,11,4,10,5,6,0,2,6,226,157,7,,,2,392,86,147,35,73,37,14,Portsmouth City  ,"Portsmouth city, Virginia",94398,0.519,0.398,0.529,0.004,0.014,0.045,0.55,0.886,0.796,0.883,0.219,52175,26312,0.168,2838.8
240,,I.C. Norcom High,6,1,5,0,3,2,3,0,1,0,3,16,158,64,12,,5,,239,31,76,85,16,17,14,Portsmouth City  ,"Portsmouth city, Virginia",94398,0.519,0.398,0.529,0.004,0.014,0.045,0.55,0.886,0.796,0.883,0.219,52175,26312,0.168,2838.8
1660,,Woodrow Wilson High,10,12,5,,0,8,1,4,2,6,6,20,177,97,12,,,9,295,60,135,14,54,32,,Portsmouth City  ,"Portsmouth city, Virginia",94398,0.519,0.398,0.529,0.004,0.014,0.045,0.55,0.886,0.796,0.883,0.219,52175,26312,0.168,2838.8
41,,Radford High,21,18,18,0,2,5,24,13,4,10,11,19,63,60,3,,,,126,62,48,1,13,1,1,Radford City  ,"Radford city, Virginia",18249,0.526,0.848,0.099,0,0.016,0.029,0.466,0.886,0.798,0.912,0.38,36297,21797,0.363,1662.1
850,,Armstrong High ,0,2,0,1,2,2,0,1,,5,0,0,125,33,7,,,,165,106,31,1,18,1,8,Richmond City  ,"Richmond city, Virginia",230436,0.526,0.455,0.469,0.004,0.021,0.069,0.426,0.881,0.754,0.854,0.396,47250,33549,0.232,3414.7
741,,George Wythe High,2,1,3,5,0,0,2,6,,3,1,2,130,36,6,,1,,173,127,34,,4,,8,Richmond City  ,"Richmond city, Virginia",230436,0.526,0.455,0.469,0.004,0.021,0.069,0.426,0.881,0.754,0.854,0.396,47250,33549,0.232,3414.7
1510,,Huguenot High,0,2,3,7,3,5,0,0,4,23,,8,179,67,12,,2,,260,162,70,1,10,1,16,Richmond City  ,"Richmond city, Virginia",230436,0.526,0.455,0.469,0.004,0.021,0.069,0.426,0.881,0.754,0.854,0.396,47250,33549,0.232,3414.7
730,,John Marshall High,7,6,0,0,0,3,3,9,0,18,41,0,72,53,10,,,,135,64,53,1,7,,10,Richmond City  ,"Richmond city, Virginia",230436,0.526,0.455,0.469,0.004,0.021,0.069,0.426,0.881,0.754,0.854,0.396,47250,33549,0.232,3414.7
90,,Open High,0,21,14,8,7,19,29,6,,,8,33,,48,,,,,48,1,37,2,7,1,,Richmond City  ,"Richmond city, Virginia",230436,0.526,0.455,0.469,0.004,0.021,0.069,0.426,0.881,0.754,0.854,0.396,47250,33549,0.232,3414.7
452,,Richmond Community High,13,12,21,10,7,2,9,11,6,23,0,14,,54,,,,,54,2,50,,,1,1,Richmond City  ,"Richmond city, Virginia",230436,0.526,0.455,0.469,0.004,0.021,0.069,0.426,0.881,0.754,0.854,0.396,47250,33549,0.232,3414.7
20,,Thomas Jefferson High,1,14,0,7,1,9,11,1,5,7,7,,58,90,2,,,,150,47,91,4,6,,2,Richmond City  ,"Richmond city, Virginia",230436,0.526,0.455,0.469,0.004,0.021,0.069,0.426,0.881,0.754,0.854,0.396,47250,33549,0.232,3414.7
390,,Patrick Henry High,26,6,6,9,,2,5,11,6,20,1,5,274,177,71,3,,,525,117,142,25,120,16,105,Roanoke City  ,"Roanoke city, Virginia",99143,0.524,0.624,0.29,0.002,0.03,0.063,0.515,0.858,0.749,0.862,0.234,44230,27006,0.208,2279.8
400,,William Fleming High,13,3,13,31,13,7,52,38,9,24,12,21,230,122,45,4,,,401,113,94,23,148,10,13,Roanoke City  ,"Roanoke city, Virginia",99143,0.524,0.624,0.29,0.002,0.03,0.063,0.515,0.858,0.749,0.862,0.234,44230,27006,0.208,2279.8
395,,King's Fork High,0,3,0,15,,8,8,14,,1,19,4,159,139,12,,,1,311,58,159,17,21,28,28,Suffolk City  ,"Suffolk city, Virginia",92108,0.515,0.515,0.418,0.002,0.02,0.044,0.687,0.914,0.811,0.899,0.295,74884,34940,0.104,211.4
300,,Lakeland High,2,1,0,9,7,4,,6,0,22,0,0,136,71,16,,1,4,228,48,59,9,101,10,1,Suffolk City  ,"Suffolk city, Virginia",92108,0.515,0.515,0.418,0.002,0.02,0.044,0.687,0.914,0.811,0.899,0.295,74884,34940,0.104,211.4
240,,Nansemond River High,25,23,2,8,13,10,17,12,2,24,11,12,170,165,9,,,2,346,73,196,7,41,20,9,Suffolk City  ,"Suffolk city, Virginia",92108,0.515,0.515,0.418,0.002,0.02,0.044,0.687,0.914,0.811,0.899,0.295,74884,34940,0.104,211.4
530,,Bayside High,3,9,2,15,2,7,4,3,4,30,9,7,211,198,20,1,1,5,436,78,260,34,26,9,29,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
610,,First Colonial High,5,12,6,10,6,10,2,3,0,9,31,9,149,254,19,,,6,428,96,263,3,47,9,10,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
440,,Floyd Kellam High,2,5,8,3,5,3,8,3,4,5,30,6,126,361,7,1,,2,497,114,310,27,24,19,3,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
30,,Frank W. Cox High,2,6,14,3,12,8,13,16,4,3,21,0,150,254,9,,,4,417,113,254,20,18,10,2,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
1050,,Green Run Collegiate,2,,17,2,3,13,4,0,3,0,4,9,5,66,,,,,71,20,40,,4,6,1,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
10,,Green Run High,0,0,2,2,2,0,3,5,1,0,3,0,198,113,18,,2,1,332,112,159,9,46,4,2,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
620,,Kempsville High,3,,4,0,23,7,3,8,8,1,15,3,160,225,8,,,8,401,100,209,10,41,20,21,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
1030,,Landstown High,9,5,2,0,11,34,28,9,17,25,3,24,200,332,27,,1,3,563,150,299,38,39,33,4,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
960,,Ocean Lakes High,9,24,16,1,0,11,45,9,18,10,4,2,154,332,20,1,,5,512,150,253,19,63,20,7,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
321,,Princess Anne High,27,7,19,18,3,6,29,6,2,5,10,13,148,276,24,1,2,4,455,83,302,12,20,9,29,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
850,,Salem High,13,2,6,23,2,5,27,3,2,10,8,3,197,199,12,,,1,409,173,171,18,20,24,3,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
920,,Tallwood High,7,3,5,5,2,0,4,0,14,0,0,2,200,265,26,,,1,492,127,256,30,41,34,4,Virginia Beach City  ,"Virginia Beach city, Virginia",449974,0.508,0.663,0.19,0.003,0.067,0.082,0.637,0.95,0.899,0.935,0.36,76610,37776,0.073,1758.9
600,,Waynesboro High,4,5,18,0,5,4,1,0,2,6,0,3,95,70,7,,,2,174,53,55,7,51,6,2,Waynesboro City  ,"Waynesboro city, Virginia",22630,0.511,0.814,0.142,0.005,0.011,0.081,0.577,0.861,0.726,0.861,0.271,45011,27033,0.168,1396.8
202,,Jamestown High,11,34,18,9,15,22,0,28,8,27,35,11,98,232,4,,,5,339,18,65,1,6,2,247,Williamsburg-James City County  ,"Williamsburg city, Virginia",14954,0.536,0.734,0.15,0.004,0.065,0.071,0.493,0.953,0.862,0.947,0.568,57463,29758,0.207,1559.3
90,,Lafayette High,9,21,13,10,16,15,1,16,4,20,10,4,108,143,11,,,4,266,68,138,5,43,12,,Williamsburg-James City County  ,"Williamsburg city, Virginia",14954,0.536,0.734,0.15,0.004,0.065,0.071,0.493,0.953,0.862,0.947,0.568,57463,29758,0.207,1559.3
204,,Warhill High,5,21,9,6,14,10,1,19,4,19,27,11,142,191,10,,,8,351,150,147,5,32,17,,Williamsburg-James City County  ,"Williamsburg city, Virginia",14954,0.536,0.734,0.15,0.004,0.065,0.071,0.493,0.953,0.862,0.947,0.568,57463,29758,0.207,1559.3
40,,John Handley High School,0,8,28,3,11,20,2,21,6,12,11,0,137,128,9,,,3,277,64,121,20,60,9,3,Winchester City  ,"Winchester city, Virginia",28078,0.509,0.82,0.101,0.002,0.022,0.178,0.443,0.859,0.754,0.841,0.351,58818,30859,0.163,2838
20,,Franklin High,,8,10,1,0,6,0,2,0,6,,0,33,36,2,,,,71,24,33,13,,1,,Franklin City  ,"Franklin city, Virginia",7967,0.553,0.369,0.567,0,0.013,0.011,0.516,0.816,0.729,0.863,0.191,40417,24025,0.147,1045.8
100,,Deep Creek High,34,10,17,19,2,13,55,17,49,42,12,43,136,208,13,,,6,363,76,184,33,31,30,9,Chesapeake City  ,"Chesapeake city, Virginia",244835,0.511,0.611,0.3,0.002,0.032,0.062,0.714,0.943,0.899,0.921,0.332,78640,35536,0.086,652
960,,Grassfield High,22,31,31,15,7,33,,8,33,23,6,28,160,370,17,,,1,548,123,352,17,31,17,8,Chesapeake City  ,"Chesapeake city, Virginia",244835,0.511,0.611,0.3,0.002,0.032,0.062,0.714,0.943,0.899,0.921,0.332,78640,35536,0.086,652
120,,Great Bridge High,9,29,10,11,11,41,0,7,33,32,5,39,105,242,8,,,3,358,65,102,14,19,14,144,Chesapeake City  ,"Chesapeake city, Virginia",244835,0.511,0.611,0.3,0.002,0.032,0.062,0.714,0.943,0.899,0.921,0.332,78640,35536,0.086,652
890,,Hickory High,11,38,24,27,4,16,,9,19,27,3,11,105,305,4,,1,5,420,105,224,23,32,18,18,Chesapeake City  ,"Chesapeake city, Virginia",244835,0.511,0.611,0.3,0.002,0.032,0.062,0.714,0.943,0.899,0.921,0.332,78640,35536,0.086,652
830,,Indian River High,7,5,9,5,7,20,,12,10,20,0,24,182,216,14,,3,7,422,93,195,14,69,40,11,Chesapeake City  ,"Chesapeake city, Virginia",244835,0.511,0.611,0.3,0.002,0.032,0.062,0.714,0.943,0.899,0.921,0.332,78640,35536,0.086,652
80,,Oscar F. Smith High,7,9,33,4,8,24,,10,20,24,9,42,216,273,29,,1,13,532,116,265,25,62,57,7,Chesapeake City  ,"Chesapeake city, Virginia",244835,0.511,0.611,0.3,0.002,0.032,0.062,0.714,0.943,0.899,0.921,0.332,78640,35536,0.086,652
840,,Western Branch High,21,18,32,8,0,1,4,0,0,0,3,0,211,266,24,,1,2,504,110,209,18,50,21,96,Chesapeake City  ,"Chesapeake city, Virginia",244835,0.511,0.611,0.3,0.002,0.032,0.062,0.714,0.943,0.899,0.921,0.332,78640,35536,0.086,652
70,,Salem High,0,16,1,14,18,6,4,0,9,0,12,20,97,186,13,,,2,298,92,151,6,43,3,3,Salem City  ,"Salem city, Virginia",25301,0.535,0.874,0.067,0.001,0.017,0.033,0.636,0.903,0.793,0.892,0.279,57165,31924,0.091,1717.9
10,,Poquoson High,18,27,0,35,1,7,3,28,39,9,4,13,56,93,3,,,1,153,25,87,10,15,15,1,Poquoson City  ,"Poquoson city, Virginia",12271,0.502,0.939,0.011,0.001,0.025,0.028,0.814,0.912,0.868,0.949,0.422,97118,40258,0.056,793.2
370,,Osbourn High,11,20,1,8,6,0,9,1,6,12,4,4,222,227,9,,,5,463,209,98,12,126,18,,Manassas City  ,"Manassas city, Virginia",41085,0.498,0.661,0.136,0.008,0.052,0.366,0.661,0.924,0.89,0.827,0.296,81493,33082,0.08,3827.6
30,,Manassas Park High,17,6,15,0,13,2,11,12,14,17,1,4,118,131,1,,,1,251,98,94,11,42,5,1,Manassas Park City  ,"Manassas Park city, Virginia",17478,0.477,0.623,0.153,0.001,0.111,0.397,0.659,0.968,0.896,0.827,0.279,88046,34326,0.064,5632.6
21,,Colonial Beach High,,7,0,7,16,3,6,14,4,4,0,,16,20,1,,,,37,8,17,3,8,1,,Colonial Beach  ,"Westmoreland County, Virginia",18015,0.512,0.692,0.261,0.008,0.009,0.069,0.732,0.858,0.749,0.845,0.192,53853,32996,0.159,76.1
